time,cpu,mem,diskRand,diskSeq
1605465001,862.73,1972.96,28.88,35.18
1605466801,863.95,1982.88,28.73,40.72
1605468601,862.85,1981.97,30.36,41.65
1605470401,861.15,1986.71,30.12,42.56
1605472201,864.39,1978.92,32.77,43.44
1605474001,864.41,1984.78,25.22,29.43
1605475801,865.03,2001.00,28.72,27.85
1605477601,863.99,2003.35,30.56,43.46
1605479402,863.52,1993.04,28.83,40.54
1605481201,863.56,2002.16,29.61,41.04
1605483001,864.05,2007.78,30.04,42.28
1605484801,865.72,1975.27,21.19,22.39
1605486601,865.61,1977.36,21.32,28.12
1605488401,864.77,1985.55,31.79,45.24
1605490201,866.56,1977.75,25.69,32.31
1605492001,865.53,1981.39,30.46,44.53
1605493801,863.65,1982.51,26.49,42.39
1605495601,863.60,1977.97,24.64,26.95
1605497401,866.67,1981.42,18.36,21.06
1605499201,861.42,1967.02,30.26,41.36
1605501002,864.87,1753.84,19.96,24.90
1605502801,860.42,1973.75,21.67,25.34
1605504601,862.43,1987.66,25.95,41.84
1605506401,863.71,1998.02,24.09,22.85
1605508201,867.40,1989.26,20.67,26.20
1605510001,858.42,1968.32,23.69,27.00
1605511801,864.83,1997.86,28.06,29.63
1605513601,864.84,1976.37,24.39,28.80
1605515401,858.72,1977.21,23.74,27.57
1605517201,856.92,1980.19,23.54,26.37
1605519001,856.13,1953.48,29.99,39.44
1605520801,857.00,1966.27,22.80,33.84
1605522601,865.13,1977.01,30.33,43.13
1605524401,864.64,1978.97,24.39,24.91
1605526201,865.82,1988.18,26.34,40.32
1605528001,866.26,1990.16,29.81,30.03
1605529801,865.49,1971.89,24.73,37.34
1605531601,936.95,2128.52,23.61,26.84
1605533401,931.89,2129.27,20.37,25.04
1605535201,930.09,2142.44,28.20,31.55
1605537001,873.09,2006.75,28.83,37.97
1605538801,933.64,2139.10,26.08,28.39
1605540601,932.35,2150.46,25.17,23.78
1605542401,933.97,2139.65,20.27,25.65
1605544201,932.93,2132.35,22.11,21.32
1605546001,926.96,2115.14,22.92,25.72
1605547801,870.62,1999.88,29.21,28.40
1605549601,866.50,1988.74,25.12,27.90
1605551401,881.16,2041.53,28.50,40.00
1605553201,897.76,2023.43,24.20,25.65
1605555001,868.85,1995.62,22.30,25.72
1605556801,868.80,1980.78,23.30,32.54
1605558601,867.26,1984.18,28.57,29.59
1605560401,868.29,1986.25,19.35,33.86
1605562201,866.77,1993.29,30.49,42.87
1605564001,863.81,1978.49,26.13,29.04
1605565802,862.93,1975.55,21.10,24.92
1605567601,864.26,1971.41,24.11,29.93
1605569401,863.73,1970.74,29.38,41.20
1605571201,864.30,1983.67,30.46,37.57
1605573001,865.02,1984.81,23.11,26.82
1605574801,865.65,1981.00,28.09,35.71
1605576601,863.82,1976.06,25.71,29.48
1605578401,864.79,1966.43,20.05,25.00
1605580201,865.08,1983.70,22.64,26.86
1605582001,865.60,1977.66,23.36,24.60
1605583801,864.02,1977.84,26.82,35.75
1605585601,868.60,1990.15,32.31,43.64
1605587401,864.27,1982.08,27.99,29.24
1605589201,865.69,1987.18,30.47,28.01
1605591001,865.48,1994.88,23.68,37.49
1605592801,864.96,1979.11,26.21,35.26
1605594601,863.99,1991.73,24.72,29.48
1605596401,865.62,1973.20,29.86,41.60
1605598201,863.66,1995.22,30.76,39.79
1605600001,865.59,1984.83,28.91,39.56
1605601801,864.90,1977.50,19.21,26.89
1605603601,863.24,1972.06,21.22,28.84
1605605401,869.74,1999.56,28.33,29.00
1605607201,866.67,1981.37,26.49,37.13
1605609001,867.12,1999.78,29.59,34.23
1605610801,867.34,1985.90,27.70,33.14
1605612601,866.72,1985.86,25.63,23.81
1605614401,867.91,1993.21,30.69,45.58
1605616201,870.51,2001.01,29.63,42.42
1605618001,868.22,1988.98,27.16,33.49
1605619801,871.68,1988.36,27.56,41.84
1605621601,871.74,1991.25,27.80,41.04
1605623401,869.62,1998.90,31.03,29.27
1605625201,868.99,1997.51,22.80,29.69
1605627001,870.59,1994.37,28.16,39.17
1605628801,869.54,1997.71,24.17,27.30
1605630601,870.26,1991.49,21.02,23.21
1605632401,870.08,1993.63,25.92,29.24
1605634202,868.16,1996.39,20.32,26.82
1605636001,869.17,1980.13,30.16,27.59
1605637801,868.24,1994.44,29.00,31.03
1605639601,871.71,1998.84,25.34,34.44
1605641401,869.33,1989.97,27.17,29.89
