time,cpu,mem,diskRand,diskSeq
1605634201,947.15,14681.66,2.39,81.26
1605636001,941.67,14480.16,2.40,80.06
1605637801,946.56,14636.39,2.40,68.71
1605639601,939.35,14663.27,2.40,82.01
1605641401,944.56,14639.71,2.40,62.10
1605643201,925.34,14651.60,2.40,78.32
1605645001,946.93,14636.78,2.40,89.52
1605646801,941.65,14668.29,2.39,81.77
1605648601,948.22,14553.11,2.40,80.96
1605650401,946.75,14664.26,2.40,62.56
1605652201,942.81,14692.83,2.40,79.83
1605654001,946.03,14669.21,2.39,66.86
1605655801,931.40,14663.81,2.39,83.48
1605657601,938.71,14678.41,2.39,82.93
1605659401,946.70,14643.20,2.39,85.07
1605661201,945.84,14534.34,2.39,75.91
1605663001,946.30,14682.92,2.39,77.48
1605664801,937.41,14570.26,2.39,79.65
1605666601,944.49,14647.90,2.40,63.97
1605668401,929.17,14657.43,2.40,74.00
1605670201,946.42,14633.47,2.39,84.68
1605672001,944.99,14603.10,2.39,84.04
1605673801,945.14,14643.32,2.40,72.18
1605675601,946.59,14681.45,2.39,82.74
1605677401,945.86,14528.77,2.40,83.25
1605679201,945.66,14694.72,2.39,69.24
1605681001,942.59,14632.83,2.40,81.59
1605682801,947.68,14686.78,2.40,72.66
1605684601,941.50,14684.10,2.39,74.55
1605686401,944.42,14654.72,2.39,81.48
1605688201,944.42,14660.60,2.40,76.90
1605690001,932.40,14493.92,2.39,75.81
1605691801,947.01,14584.92,2.40,77.63
1605693601,941.54,14639.26,2.40,84.70
1605695401,945.19,14648.63,2.40,63.63
1605697201,936.15,14653.51,2.40,86.20
1605699001,943.99,14667.18,2.40,79.61
1605700801,937.86,14628.62,2.40,82.46
1605702601,946.35,14513.30,2.39,76.68
1605704401,945.68,14642.53,2.39,75.59
1605706201,945.80,14303.32,2.39,67.33
1605708001,939.57,14644.86,2.40,76.46
1605709801,940.22,14639.22,2.40,77.48
1605711601,945.01,14565.92,2.40,79.18
1605713401,946.07,14638.68,2.39,78.55
1605715201,943.41,14620.07,2.39,73.39
1605717001,943.53,14421.57,2.39,67.80
1605718801,938.69,14546.16,2.39,57.26
1605720601,929.58,14635.18,2.40,73.42
1605722401,944.67,14531.63,2.40,62.24
1605724201,935.73,14645.42,2.39,80.10
1605726001,942.69,14605.36,2.40,70.25
1605727801,944.82,14655.92,2.39,78.02
1605729601,944.11,14273.68,2.40,75.78
1605731401,938.95,14640.67,2.40,67.69
1605733201,942.73,14521.13,2.40,76.00
1605735001,944.54,14632.73,2.39,60.03
1605736801,934.42,14401.12,2.39,73.03
1605738601,945.84,14634.39,2.40,71.68
1605740401,943.17,14649.61,2.40,75.05
1605742202,945.11,14483.63,2.39,86.17
1605744001,946.52,14650.02,2.39,77.62
1605745801,944.06,14257.22,2.39,85.69
1605747601,941.88,14624.84,2.40,77.00
1605749401,945.39,14653.36,2.39,77.69
1605751201,945.88,14444.32,2.40,71.20
1605753001,947.11,14693.11,2.40,74.89
1605754801,939.23,14610.16,2.40,77.45
1605756601,945.38,14647.21,2.39,80.07
1605758401,941.59,14594.32,2.40,78.44
1605760201,946.08,14268.19,2.40,69.10
1605762001,939.92,14594.31,2.40,56.62
1605763801,887.78,14669.87,2.39,81.71
1605765601,945.27,14627.01,2.40,86.84
1605767401,944.62,14653.15,2.39,77.11
1605769201,940.72,14348.40,2.40,77.92
1605771001,939.88,14563.65,2.40,51.45
1605772801,936.46,14682.48,2.40,85.16
1605774601,946.44,14679.52,2.39,74.85
1605776401,940.63,14561.92,2.39,79.07
1605778201,944.92,14483.59,2.40,67.90
1605780001,945.83,14659.40,2.39,55.24
1605781801,924.61,14658.63,2.40,67.89
1605783601,944.94,14658.39,2.39,62.47
1605785401,924.11,14647.15,2.40,73.96
1605787201,944.47,14604.85,2.40,73.36
1605789001,944.77,14646.31,2.39,75.18
1605790801,944.51,14415.90,2.39,69.86
1605792601,943.08,14582.75,2.40,68.24
1605794401,938.00,13936.35,2.40,66.84
1605796202,932.05,14639.15,2.39,55.75
1605798001,918.15,14500.41,2.40,73.94
1605799801,946.68,14660.43,2.39,75.36
1605801601,943.45,14613.14,2.39,66.68
1605803401,945.41,14614.16,2.39,68.06
1605805201,943.62,14640.75,2.40,61.61
1605807001,910.21,14645.50,2.40,73.98
1605808801,945.37,14619.63,2.40,78.91
1605810601,947.18,14649.40,2.40,75.55
1605812401,945.33,14459.02,2.40,71.07
1605814201,946.86,14640.14,2.40,60.26
1605816001,950.02,14719.26,2.40,108.62
