time,cpu,mem,diskRand,diskSeq,fork,uplink
1608218293,1228.17,10786.76,97.55,167.36,9.82,28065
1608218659,1212.17,10845.48,100.49,170.33,10.13,33022
1608219025,1230.60,10991.35,100.99,176.48,10.03,35282
1608219391,1229.97,11123.24,100.46,171.49,10.10,33571
1608219757,1228.41,11039.91,101.60,173.06,10.07,29204
1608220122,1224.40,11106.48,100.24,170.10,10.10,32818
1608220487,1227.28,11175.04,102.11,181.31,10.23,28743
1608220852,1239.03,11177.16,102.57,179.75,10.22,30619
1608221217,1237.22,11170.10,102.27,181.12,10.22,29752
1608221584,1236.70,11183.35,102.68,179.73,10.21,28737
