time,cpu,mem,diskRand,diskSeq,fork,uplink
1608221950,1231.38,11672.46,76.04,76.38,8.80,665
1608222311,1234.94,11639.35,75.36,76.60,8.76,824
1608222671,1203.16,11486.48,34.83,33.39,8.91,580
1608223033,1229.48,11583.64,28.54,28.56,8.89,629
1608223396,1225.17,11575.40,31.37,31.42,8.90,595
1608223758,1223.56,11589.63,34.85,33.51,8.87,577
1608224120,1225.47,11549.41,37.23,36.66,8.79,449
1608224481,1223.66,11554.26,31.49,31.40,8.77,595
1608224841,1219.70,11614.90,38.22,36.55,8.79,334
1608225202,1224.29,11560.56,46.81,55.53,8.86,647
