time,cpu,mem,diskRand,diskSeq,fork,uplink
1608387835,1202.79,10628.45,2.39,120.27,9.14,
1608388266,1203.31,10613.18,2.39,120.28,9.18,
1608388698,1203.90,10627.02,2.39,120.28,9.14,
1608389131,1204.27,10633.64,2.39,120.28,9.15,
1608389561,1203.65,10624.89,2.38,120.03,9.22,
1608389993,1203.04,10635.69,2.38,120.27,9.15,
1608390423,1203.58,10592.61,2.39,120.28,9.15,
1608390853,1204.11,10630.75,1.10,104.71,9.18,
1608391283,1203.06,10628.72,1.10,73.82,9.17,
1608391713,1203.58,10623.34,1.10,73.87,9.19,
